iter	Passed	Remaining
0	57	57332
1	57	28827
2	58	19321
3	58	14663
4	59	11774
5	59	9855
6	60	8584
7	60	7536
8	61	6724
9	61	6078
10	61	5553
11	62	5111
12	62	4740
13	62	4421
14	63	4150
15	63	3904
16	63	3688
17	64	3495
18	64	3325
19	64	3174
20	65	3035
21	65	2904
22	65	2791
23	65	2682
24	66	2584
25	66	2494
26	66	2408
27	67	2328
28	67	2257
29	67	2189
30	68	2127
31	68	2069
32	68	2012
33	69	1960
34	69	1910
35	69	1862
36	69	1816
37	70	1774
38	70	1734
39	70	1696
40	70	1659
41	71	1626
42	71	1594
43	71	1562
44	72	1532
45	72	1504
46	72	1476
47	73	1449
48	73	1424
49	73	1401
50	74	1379
51	74	1357
52	74	1336
53	75	1316
54	75	1298
55	75	1277
56	76	1257
57	76	1240
58	76	1222
59	76	1206
60	77	1189
61	77	1174
62	77	1158
63	78	1142
64	78	1127
65	78	1113
66	79	1100
67	79	1086
68	79	1074
69	79	1061
70	80	1049
71	80	1037
72	80	1025
73	81	1014
74	81	1004
75	81	992
76	81	981
77	82	972
78	82	963
79	82	953
80	83	944
81	83	935
82	83	924
83	83	915
84	84	907
85	84	898
86	84	890
87	85	881
88	85	874
89	85	866
90	85	858
91	86	852
92	86	844
93	86	838
94	87	831
95	87	825
96	87	819
97	88	813
98	88	807
99	89	801
100	89	795
101	89	788
102	89	782
103	90	777
104	90	771
105	90	765
106	91	760
107	91	755
108	91	750
109	92	745
110	92	739
111	92	734
112	92	728
113	93	724
114	93	719
115	93	714
116	94	710
117	94	706
118	94	701
119	95	697
120	95	693
121	95	688
122	95	684
123	96	679
124	96	675
125	96	671
126	97	667
127	97	663
128	97	659
129	97	655
130	98	652
131	98	648
132	98	644
133	99	640
134	99	637
135	99	633
136	100	630
137	100	627
138	100	623
139	101	620
140	101	617
141	101	613
142	101	610
143	102	607
144	102	604
145	102	600
146	103	598
147	103	595
148	103	592
149	104	590
150	104	587
151	104	584
152	104	581
153	105	578
154	105	575
155	105	572
156	106	569
157	106	567
158	106	564
159	107	562
160	107	559
161	107	556
162	107	553
163	108	550
164	108	548
165	108	545
166	108	542
167	109	540
168	109	538
169	109	535
170	110	533
171	110	531
172	110	529
173	110	526
174	111	524
175	111	521
176	111	519
177	112	518
178	112	515
179	112	513
180	113	511
181	113	509
182	113	507
183	113	505
184	114	503
185	114	501
186	114	499
187	115	497
188	115	495
189	115	493
190	115	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	118	478
198	118	476
199	118	474
200	118	472
201	119	470
202	119	468
203	119	466
204	119	465
205	120	463
206	120	462
207	120	460
208	121	458
209	121	457
210	121	455
211	122	453
212	122	452
213	122	450
214	122	448
215	123	446
216	123	445
217	123	443
218	123	441
219	124	440
220	124	438
221	124	437
222	125	435
223	125	434
224	125	433
225	126	431
226	126	430
227	126	429
228	127	427
229	127	426
230	127	425
231	128	423
232	128	422
233	128	420
234	128	419
235	129	418
236	129	418
237	130	416
238	130	415
239	130	414
240	131	412
241	131	411
242	131	410
243	132	409
244	132	407
245	132	406
246	133	405
247	133	404
248	133	402
249	133	401
250	134	399
251	134	398
252	134	397
253	134	396
254	135	395
255	135	393
256	135	392
257	136	391
258	136	390
